종목코드,종목명,일자,종가,SMA5_등락비율,SMA20_등락비율,SMA60_등락비율,BB상_등락비율,BB중_등락비율,BB하_등락비율,RSI_등락비율,MACD_등락비율
000270.KS,기아,2026-04-29,156900.0000,-0.3974,0.0520,,0.0993,0.0520,-0.0007,2.7503,
000270.KS,기아,2026-04-30,151800.0000,-0.8495,0.0389,,-0.0155,0.0389,0.0995,-11.2119,
000270.KS,기아,2026-05-04,154000.0000,0.0779,0.1233,,-0.0069,0.1233,0.2679,5.4692,
000270.KS,기아,2026-05-06,154600.0000,0.2594,0.0972,,0.0317,0.0972,0.1698,1.4269,
000270.KS,기아,2026-05-07,157600.0000,0.2588,0.2201,,0.1622,0.2201,0.2842,6.9317,
000270.KS,기아,2026-05-08,164500.0000,0.9808,0.1712,,0.7122,0.1712,-0.4269,12.6595,
000270.KS,기아,2026-05-11,174700.0000,2.9265,0.7803,,2.7297,0.7803,-1.3994,12.2530,
000270.KS,기아,2026-05-12,168300.0000,1.7755,0.6175,,0.9278,0.6175,0.2560,-11.5633,
000270.KS,기아,2026-05-13,179500.0000,3.0377,1.0207,,2.4290,1.0207,-0.6309,11.5444,
000270.KS,기아,2026-05-14,178100.0000,2.4272,0.9096,,1.6897,0.9096,-0.0334,-2.3520,
000270.KS,기아,2026-05-15,168000.0000,0.4046,0.5147,,0.3572,0.5147,0.7083,-15.4502,
000270.KS,기아,2026-05-18,162500.0000,-1.4046,0.1427,,0.0965,0.1427,0.1994,-8.3079,
000270.KS,기아,2026-05-19,154900.0000,-1.5647,-0.1332,,0.0031,-0.1332,-0.3002,-11.0028,-25.4122
000270.KS,기아,2026-05-20,149400.0000,-3.5706,-0.2482,,0.1781,-0.2482,-0.7718,-7.8978,-40.2066
000270.KS,기아,2026-05-21,167900.0000,-1.2548,0.2457,,0.3763,0.2457,0.0839,30.6293,15.7852
000270.KS,기아,2026-05-22,164800.0000,-0.3987,0.1489,,0.1695,0.1489,0.1233,-3.8593,-0.5321
000270.KS,기아,2026-05-26,167000.0000,0.5629,0.2665,,0.3010,0.2665,0.2235,2.5574,5.6286
000270.KS,기아,2026-05-27,164700.0000,1.2189,0.3492,,0.0956,0.3492,0.6649,-3.1249,-4.0784
000270.KS,기아,2026-05-28,164300.0000,1.8309,0.3603,,0.0021,0.3603,0.8036,-0.5819,-5.7605
000270.KS,기아,2026-05-29,169200.0000,0.1569,0.4173,,0.2969,0.4173,0.5651,6.5308,10.8367
000270.KS,기아,2026-06-01,169900.0000,0.6145,0.3972,,0.3117,0.3972,0.5019,0.8664,8.6815
000270.KS,기아,2026-06-02,168800.0000,0.2155,0.5174,,-0.0494,0.5174,1.2102,-1.8028,1.9944
000270.KS,기아,2026-06-04,164300.0000,-0.0478,0.3119,,-0.1874,0.3119,0.9145,-7.3580,-12.1395
000270.KS,기아,2026-06-05,161100.0000,-0.3825,0.1962,,-0.2218,0.1962,0.6953,-5.3343,-22.1075
000270.KS,기아,2026-06-08,151400.0000,-2.1361,-0.1868,,0.3694,-0.1868,-0.8448,-14.8308,-62.8480
000270.KS,기아,2026-06-09,164300.0000,-0.6867,-0.0060,,-0.0037,-0.0060,-0.0089,25.0733,7.6174
000270.KS,기아,2026-06-10,159700.0000,-1.1236,-0.4527,,-0.6325,-0.4527,-0.2375,-6.3037,-42.4114
000270.KS,기아,2026-06-11,156000.0000,-1.0365,-0.3729,,-0.1146,-0.3729,-0.6811,-5.1777,-124.2297
000270.KS,기아,2026-06-12,166800.0000,0.7192,-0.3865,,-1.2780,-0.3865,0.6829,16.6270,-387.1895
000270.KS,기아,2026-06-15,167500.0000,2.0170,-0.3239,,-1.2049,-0.3239,0.7125,0.8475,122.2672
000270.KS,기아,2026-06-16,170200.0000,0.7245,0.0674,,0.1896,0.0674,-0.0735,3.3236,72.8108
000270.KS,기아,2026-06-17,166300.0000,0.8047,0.1164,,0.1475,0.1164,0.0804,-5.6697,6.0830
000270.KS,기아,2026-06-18,158800.0000,0.3387,0.1193,,-0.1420,0.1193,0.4218,-10.5081,-43.3953
000270.KS,기아,2026-06-19,154900.0000,-1.4344,0.1681,,-0.5109,0.1681,0.9497,-5.5575,-104.1492
000270.KS,기아,2026-06-22,151400.0000,-1.9689,-0.5034,,0.1918,-0.5034,-1.2921,-5.0974,2894.3032
000270.KS,기아,2026-06-23,137400.0000,-4.0918,-0.8401,,1.7935,-0.8401,-3.8731,-18.0045,198.6751
000270.KS,기아,2026-06-24,138900.0000,-3.5640,-0.8689,,0.6807,-0.8689,-2.7586,3.8707,46.5251
000270.KS,기아,2026-06-25,139500.0000,-2.6032,-0.7861,,0.3842,-0.7861,-2.2637,1.5589,22.5224
000270.KS,기아,2026-06-26,135300.0000,-2.7143,-0.9117,-0.1706,0.4597,-0.9117,-2.6903,-6.1486,20.2049
000270.KS,기아,2026-06-29,140600.0000,-1.5374,-0.9074,-0.0485,-0.5219,-0.9074,-1.4236,14.8917,4.7415
000270.KS,기아,2026-06-30,140200.0000,0.4048,-0.9510,-0.1594,-0.7761,-0.9510,-1.1873,-0.6229,2.9322
000660.KS,SK하이닉스,2026-04-29,1293000.0000,1.1179,1.8268,,1.4703,1.8268,2.4393,-1.4122,
000660.KS,SK하이닉스,2026-04-30,1286000.0000,0.9634,2.0659,,0.2903,2.0659,5.0875,-1.4980,
000660.KS,SK하이닉스,2026-05-04,1447000.0000,3.5195,2.5345,,2.6725,2.5345,2.3104,8.9838,
000660.KS,SK하이닉스,2026-05-06,1601000.0000,4.6691,3.0952,,4.8983,3.0952,0.1566,4.8432,
000660.KS,SK하이닉스,2026-05-07,1654000.0000,5.1104,3.0989,,4.7282,3.0989,0.3176,1.2388,
000660.KS,SK하이닉스,2026-05-08,1686000.0000,5.3976,2.6596,,4.6991,2.6596,-0.9749,0.7020,
000660.KS,SK하이닉스,2026-05-11,1880000.0000,7.7404,3.4992,,6.6804,3.4992,-2.4947,3.3320,
000660.KS,SK하이닉스,2026-05-12,1835000.0000,4.6928,3.0972,,4.3801,3.0972,0.4526,-5.4854,
000660.KS,SK하이닉스,2026-05-13,1976000.0000,4.3323,3.4801,,5.3279,3.4801,-0.4780,2.6671,
000660.KS,SK하이닉스,2026-05-14,1970000.0000,3.4991,3.1151,,4.2245,3.1151,0.6001,-0.7107,
